species	Host_group	nest_type_simpl	Porcellio_fac	Armadillidium_vulg	Oniscus
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	7	0	0
Formica_rufa	RWA	thatch_mound	1	0	0
Formica_polyctena	RWA	thatch_mound	1	0	0
Formica_polyctena	RWA	thatch_mound	6	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	3	0	0
Formica_polyctena	RWA	thatch_mound	2	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_rufa	RWA	thatch_mound	0	0	0
Formica_rufa	RWA	thatch_mound	0	0	0
Formica_rufa	RWA	thatch_mound	3	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_rufa	RWA	thatch_mound	1	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_polyctena	RWA	thatch_mound	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	wood	2	0	1
Formica_fusca	FF	wood	2	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	wood	11	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	wood	24	0	0
Formica_fusca	FF	wood	1	1	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	wood	3	0	0
Formica_fusca	FF	sand_soil	4	0	0
Formica_fusca	FF	wood	4	0	0
Formica_fusca	FF	sand_soil	2	0	0
Formica_fusca	FF	wood	0	0	0
Formica_fusca	FF	sand_soil	0	0	0
Formica_fusca	FF	sand_soil	3	0	0
Formica_fusca	FF	wood	1	0	0
Formica_fusca	FF	wood	2	0	0
Formica_fusca	FF	wood	7	0	0
Formica_fusca	FF	wood	1	0	0
Formica_fusca	FF	wood	3	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	4	0	0
Formica_sanguinea	FS	sand_soil	0	0	0
Formica_sanguinea	FS	thatch_mound	1	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	11	0	0
Formica_sanguinea	FS	sand_soil	0	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	1	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	1	0	0
Formica_sanguinea	FS	sand_soil	0	0	0
Formica_sanguinea	FS	sand_soil	0	0	0
Formica_sanguinea	FS	thatch_mound	1	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	1	0	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	10	3	0
Formica_sanguinea	FS	thatch_mound	0	0	0
Formica_sanguinea	FS	thatch_mound	3	0	0
Lasius_fuliginosus	LF	wood	18	0	0
Lasius_fuliginosus	LF	wood	7	0	0
Lasius_fuliginosus	LF	wood	0	0	0
Lasius_fuliginosus	LF	wood	0	0	0
Lasius_fuliginosus	LF	wood	21	0	0
Lasius_fuliginosus	LF	wood	9	0	0
Lasius_fuliginosus	LF	wood	0	0	0
Lasius_fuliginosus	LF	wood	11	0	0
Lasius_fuliginosus	LF	wood	0	0	0
Lasius_fuliginosus	LF	wood	0	0	0
Myrmica_rubra	Myr	sand_soil	1	0	0
Myrmica_ruginodis	Myr	wood	21	0	0
Myrmica_ruginodis	Myr	sand_soil	5	0	0
Myrmica_rubra	Myr	sand_soil	0	0	0
Myrmica_ruginodis	Myr	wood	12	0	0
Myrmica_rubra	Myr	sand_soil	4	0	0
Myrmica_ruginodis	Myr	sand_soil	1	0	0
Myrmica_ruginodis	Myr	wood	0	0	0
Myrmica_rugulosa	Myr	sand_soil	2	0	0
Myrmica_scabrinodis	Myr	wood	1	0	0
Myrmica_sabuleti	Myr	wood	0	0	0
Myrmica_scabrinodis	Myr	sand_soil	0	0	0
Myrmica_rubra	Myr	sand_soil	25	0	0
Myrmica_rugulosa	Myr	sand_soil	0	0	0
Myrmica_rubra	Myr	wood	22	0	0
Myrmica_sabuleti	Myr	sand_soil	0	0	0
Myrmica_ruginodis	Myr	wood	11	0	1
Myrmica_scabrinodis	Myr	sand_soil	0	0	0
Myrmica_scabrinodis	Myr	sand_soil	0	0	0
Myrmica_ruginodis	Myr	wood	5	0	0
Myrmica_specioides	Myr	sand_soil	0	0	0
Myrmica_ruginodis	Myr	wood	0	0	2
Myrmica_ruginodis	Myr	wood	0	0	0
Myrmica_sabuleti	Myr	sand_soil	0	0	1
Myrmica_sabuleti	Myr	sand_soil	0	0	0
Myrmica_sabuleti	Myr	wood	1	0	0
Myrmica_scabrinodis	Myr	sand_soil	0	0	0
Myrmica_rubra	Myr	wood	38	0	0
Myrmica_scabrinodis	Myr	wood	3	0	0
Myrmica_ruginodis	Myr	wood	1	1	0
Myrmica_scabrinodis	Myr	wood	6	1	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	1	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	1
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	1	0	0
Lasius_niger	Las	wood	0	0	0
Lasius_flavus	Las	wood	0	0	0
Lasius_flavus	Las	sand_soil	2	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	1	0	0
Lasius_niger	Las	sand_soil	0	1	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	2	1	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_niger	Las	wood	10	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_flavus	Las	wood	0	0	0
Lasius_flavus	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_niger	Las	wood	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	wood	1	1	0
Chtonolasius	Las	wood	5	0	0
Lasius_niger	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_niger	Las	wood	0	0	0
Lasius_niger	Las	sand_soil	0	0	0
Lasius_platythorax	Las	wood	0	0	0
Tetramorium	Tet	wood	1	0	0
Tetramorium	Tet	sand_soil	0	0	0
Tetramorium	Tet	sand_soil	0	0	0
Tetramorium	Tet	sand_soil	0	0	0
